[2026-07-06T15:16:07.082Z] GET https://cdn.ngrok.com/static/js/error.js → 200 (3ms, -309B)
[2026-07-06T15:16:07.092Z] GET https://cdn.ngrok.com/static/compiled/js/allerrors.js → 200 (15ms, -288B)
[2026-07-06T15:16:07.092Z] GET https://cdn.ngrok.com/static/compiled/css/global.css → 200 (5ms, -281B)
[2026-07-06T15:16:07.108Z] GET https://cdn.ngrok.com/static/compiled/js/global.js → 200 (11ms, -288B)
[2026-07-06T15:16:07.223Z] GET https://assets.ngrok.com/fonts/roobert/roobert-proportional-vf.woff2 → 200 (7ms, -707B)
[2026-07-06T15:21:22.473Z] GET https://swab-refill-carnival.ngrok-free.dev/rovix-crm/public/ → 200 (89ms, ?B)
[2026-07-06T15:21:22.658Z] GET https://assets.ngrok.com/fonts/euclid-square/EuclidSquare-Regular-WebS.woff → 200 (169ms, -705B)
[2026-07-06T15:21:22.658Z] GET https://assets.ngrok.com/fonts/euclid-square/EuclidSquare-RegularItalic-WebS.woff → 200 (170ms, -705B)
[2026-07-06T15:21:22.658Z] GET https://assets.ngrok.com/fonts/euclid-square/EuclidSquare-Medium-WebS.woff → 200 (173ms, -705B)
[2026-07-06T15:21:22.658Z] GET https://assets.ngrok.com/fonts/euclid-square/EuclidSquare-MediumItalic-WebS.woff → 200 (176ms, -705B)
[2026-07-06T15:21:22.658Z] GET https://assets.ngrok.com/fonts/ibm-plex-mono/IBMPlexMono-Text.woff → 200 (177ms, -705B)
[2026-07-06T15:21:22.658Z] GET https://assets.ngrok.com/fonts/ibm-plex-mono/IBMPlexMono-TextItalic.woff → 200 (178ms, -705B)
[2026-07-06T15:21:22.658Z] GET https://assets.ngrok.com/fonts/ibm-plex-mono/IBMPlexMono-SemiBold.woff → 200 (180ms, -704B)
[2026-07-06T15:21:22.658Z] GET https://assets.ngrok.com/fonts/ibm-plex-mono/IBMPlexMono-SemiBoldItalic.woff → 200 (181ms, -705B)
[2026-07-06T15:21:22.658Z] GET https://cdn.ngrok.com/static/css/error.css → 200 (?ms, -302B)
[2026-07-06T15:21:22.661Z] GET https://cdn.ngrok.com/static/js/error.js → 200 (3ms, -309B)
[2026-07-06T15:21:22.669Z] GET https://cdn.ngrok.com/static/compiled/js/allerrors.js → 200 (?ms, -288B)
[2026-07-06T15:21:22.670Z] GET https://cdn.ngrok.com/static/compiled/css/global.css → 200 (?ms, -281B)
[2026-07-06T15:21:22.671Z] GET https://assets.ngrok.com/fonts/roobert/roobert-proportional-vf.woff2 → 200 (?ms, -707B)
[2026-07-06T15:21:22.673Z] GET https://cdn.ngrok.com/static/compiled/js/global.js → 200 (1ms, -288B)
[2026-07-06T15:21:22.825Z] GET https://assets.ngrok.com/fonts/jetbrains/jetbrainsmono-wght.woff2 → 200 (101ms, 114365B)
[2026-07-06T15:21:52.857Z] GET https://swab-refill-carnival.ngrok-free.dev/rovix-crm/public/ → pending (?ms, ?B)
[2026-07-06T15:21:53.092Z] GET https://swab-refill-carnival.ngrok-free.dev/rovix-crm/public/login → 200 (212ms, 31850B)
[2026-07-06T15:21:53.321Z] GET https://swab-refill-carnival.ngrok-free.dev/rovix-crm/public/index.php?debugbar → 200 (80ms, 4025B)
[2026-07-06T15:21:53.321Z] GET https://cdn.tailwindcss.com/ → 302 (505ms, ?B)
[2026-07-06T15:21:53.321Z] GET https://cdn.jsdelivr.net/npm/alpinejs@3.x.x/dist/cdn.min.js → 200 (205ms, 17948B)
[2026-07-06T15:21:53.827Z] GET https://cdn.tailwindcss.com/3.4.17 → pending (?ms, ?B)
[2026-07-06T15:21:54.808Z] GET https://swab-refill-carnival.ngrok-free.dev/rovix-crm/public/index.php?debugbar_time=1783351313.254965 → pending (?ms, ?B)
[2026-07-06T15:24:04.531Z] GET https://swab-refill-carnival.ngrok-free.dev/rovix-crm/public/login → 200 (145ms, 31723B)
[2026-07-06T15:24:04.699Z] GET https://swab-refill-carnival.ngrok-free.dev/rovix-crm/public/index.php?debugbar → 200 (62ms, 4004B)
[2026-07-06T15:24:04.699Z] GET https://cdn.tailwindcss.com/ → 200 (?ms, -768B)
[2026-07-06T15:24:04.700Z] GET https://cdn.jsdelivr.net/npm/alpinejs@3.x.x/dist/cdn.min.js → 200 (?ms, -1133B)
[2026-07-06T15:24:04.934Z] GET https://swab-refill-carnival.ngrok-free.dev/rovix-crm/public/index.php?debugbar_time=1783351444.636147 → pending (?ms, ?B)
[2026-07-06T15:25:28.316Z] POST https://swab-refill-carnival.ngrok-free.dev/rovix-crm/public/login → 303 (335ms, ?B)
[2026-07-06T15:25:28.652Z] GET https://swab-refill-carnival.ngrok-free.dev/rovix-crm/public/dashboard → pending (?ms, ?B)
[2026-07-06T15:25:28.964Z] GET https://swab-refill-carnival.ngrok-free.dev/rovix-crm/public/index.php?debugbar → 200 (120ms, 4004B)
[2026-07-06T15:25:28.969Z] GET https://fonts.googleapis.com/css2?family=Inter:wght@400;500;600;700&display=swap → 200 (239ms, 1215B)
[2026-07-06T15:25:28.969Z] GET https://cdn.tailwindcss.com/ → 200 (?ms, -768B)
[2026-07-06T15:25:28.970Z] GET https://cdn.jsdelivr.net/npm/alpinejs@3.x.x/dist/cdn.min.js → 200 (?ms, -1133B)
[2026-07-06T15:25:28.971Z] GET https://swab-refill-carnival.ngrok-free.dev/rovix-crm/public/css/rovix-ui.css?v=1783146752 → 200 (99ms, 14079B)
[2026-07-06T15:25:28.985Z] GET https://cdn.jsdelivr.net/npm/chart.js@4.4.0/dist/chart.umd.min.js → 200 (169ms, 71251B)
[2026-07-06T15:25:28.986Z] GET https://swab-refill-carnival.ngrok-free.dev/rovix-crm/public/js/app-nav.js → 200 (101ms, 5319B)
[2026-07-06T15:25:29.566Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7.woff2 → 200 (165ms, 48392B)
[2026-07-06T15:25:29.567Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa25L7SUc.woff2 → 200 (236ms, 85646B)
[2026-07-06T15:25:29.841Z] GET https://swab-refill-carnival.ngrok-free.dev/rovix-crm/public/index.php?debugbar_time=1783351528.894985 → pending (?ms, ?B)
[2026-07-06T15:26:06.080Z] GET https://swab-refill-carnival.ngrok-free.dev/rovix-crm/public/contacts → 200 (195ms, 65234B)
[2026-07-06T15:26:55.490Z] GET https://swab-refill-carnival.ngrok-free.dev/rovix-crm/public/contacts → 200 (164ms, 65331B)
[2026-07-06T15:26:55.692Z] GET https://swab-refill-carnival.ngrok-free.dev/rovix-crm/public/index.php?debugbar → 200 (61ms, 4004B)
[2026-07-06T15:26:55.692Z] GET https://fonts.googleapis.com/css2?family=Inter:wght@400;500;600;700&display=swap → 200 (?ms, -743B)
[2026-07-06T15:26:55.692Z] GET https://cdn.tailwindcss.com/ → 200 (?ms, -768B)
[2026-07-06T15:26:55.693Z] GET https://cdn.jsdelivr.net/npm/alpinejs@3.x.x/dist/cdn.min.js → 200 (?ms, -1133B)
[2026-07-06T15:26:55.693Z] GET https://swab-refill-carnival.ngrok-free.dev/rovix-crm/public/css/rovix-ui.css?v=1783146752 → 200 (1ms, -310B)
[2026-07-06T15:26:55.694Z] GET https://swab-refill-carnival.ngrok-free.dev/rovix-crm/public/js/app-nav.js → 200 (?ms, -316B)
[2026-07-06T15:26:55.835Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa25L7SUc.woff2 → 200 (1ms, -815B)
[2026-07-06T15:26:55.837Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7.woff2 → 200 (2ms, -815B)
[2026-07-06T15:26:55.840Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa25L7SUc.woff2 → 200 (?ms, -815B)
[2026-07-06T15:26:55.841Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7.woff2 → 200 (?ms, -815B)
[2026-07-06T15:26:55.954Z] GET https://swab-refill-carnival.ngrok-free.dev/rovix-crm/public/index.php?debugbar_time=1783351615.608540 → 200 (134ms, 171103B)
[2026-07-06T15:27:12.559Z] GET https://swab-refill-carnival.ngrok-free.dev/rovix-crm/public/contacts/3a1e9dd7-3bcf-4791-a8dd-9ef7151e3e04 → 200 (210ms, 58836B)
[2026-07-06T15:28:06.025Z] GET https://swab-refill-carnival.ngrok-free.dev/rovix-crm/public/inbox → 200 (292ms, 65889B)
[2026-07-06T15:28:06.341Z] GET https://swab-refill-carnival.ngrok-free.dev/rovix-crm/public/index.php?debugbar → 200 (64ms, 4004B)
[2026-07-06T15:28:06.342Z] GET https://fonts.googleapis.com/css2?family=Inter:wght@400;500;600;700&display=swap → 200 (?ms, -743B)
[2026-07-06T15:28:06.346Z] GET https://cdn.tailwindcss.com/ → 200 (?ms, -768B)
[2026-07-06T15:28:06.347Z] GET https://cdn.jsdelivr.net/npm/alpinejs@3.x.x/dist/cdn.min.js → 200 (?ms, -1133B)
[2026-07-06T15:28:06.347Z] GET https://swab-refill-carnival.ngrok-free.dev/rovix-crm/public/css/rovix-ui.css?v=1783146752 → 200 (?ms, -310B)
[2026-07-06T15:28:06.355Z] GET https://swab-refill-carnival.ngrok-free.dev/rovix-crm/public/js/app-nav.js → 200 (?ms, -316B)
[2026-07-06T15:28:06.513Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa25L7SUc.woff2 → 200 (1ms, -815B)
[2026-07-06T15:28:06.515Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7.woff2 → 200 (?ms, -815B)
[2026-07-06T15:28:06.515Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa25L7SUc.woff2 → 200 (1ms, -815B)
[2026-07-06T15:28:06.517Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7.woff2 → 200 (?ms, -815B)
[2026-07-06T15:28:07.043Z] GET https://swab-refill-carnival.ngrok-free.dev/rovix-crm/public/index.php?debugbar_time=1783351686.271234 → 200 (321ms, 169938B)
[2026-07-06T15:28:10.631Z] GET https://swab-refill-carnival.ngrok-free.dev/rovix-crm/public/api/inbox/conversations → pending (?ms, ?B)
[2026-07-06T15:28:14.630Z] GET https://swab-refill-carnival.ngrok-free.dev/rovix-crm/public/api/inbox/conversations → pending (?ms, ?B)
[2026-07-06T15:28:18.623Z] GET https://swab-refill-carnival.ngrok-free.dev/rovix-crm/public/api/inbox/conversations → 200 (123ms, 6457B)
[2026-07-06T15:28:22.629Z] GET https://swab-refill-carnival.ngrok-free.dev/rovix-crm/public/api/inbox/conversations → 200 (154ms, 6455B)
[2026-07-06T15:28:23.103Z] GET https://swab-refill-carnival.ngrok-free.dev/rovix-crm/public/pipelines → 200 (160ms, 52033B)
[2026-07-06T15:28:23.284Z] GET https://swab-refill-carnival.ngrok-free.dev/rovix-crm/public/index.php?debugbar → 200 (80ms, 4004B)
[2026-07-06T15:28:23.285Z] GET https://fonts.googleapis.com/css2?family=Inter:wght@400;500;600;700&display=swap → 200 (2ms, -743B)
[2026-07-06T15:28:23.288Z] GET https://cdn.tailwindcss.com/ → 200 (?ms, -768B)
[2026-07-06T15:28:23.289Z] GET https://cdn.jsdelivr.net/npm/alpinejs@3.x.x/dist/cdn.min.js → 200 (?ms, -1133B)
[2026-07-06T15:28:23.289Z] GET https://swab-refill-carnival.ngrok-free.dev/rovix-crm/public/css/rovix-ui.css?v=1783146752 → 200 (1ms, -310B)
[2026-07-06T15:28:23.298Z] GET https://swab-refill-carnival.ngrok-free.dev/rovix-crm/public/js/app-nav.js → 200 (1ms, -316B)
[2026-07-06T15:28:23.456Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa25L7SUc.woff2 → 200 (2ms, -815B)
[2026-07-06T15:28:23.459Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7.woff2 → 200 (?ms, -815B)
